[layer]
type=Tile Layer 1
data=
1,1,1,1,1,1,1,1,1,1,1,
1,0,0,0,0,1,0,0,0,0,1,
1,0,1,1,6,0,5,1,1,0,1,
1,0,1,6,4,25,3,5,1,0,1,
0,0,6,4,1,1,1,3,5,0,1,
1,6,4,1,10,10,10,1,3,5,1,
1,3,5,1,0,7,10,10,10,10,10,
10,10,10,10,0,3,21,0,22,0,23,
25,0,0,0,0,1,3,0,0,0,4,
1,1,1,1,0,8,1,3,0,0,5,
0,0,0,0,0,1,8,1,24,0,0,
1,0,23,22,21,1,1,8,0,3,25,
1,1,0,0,4,1,1,1,0,1,3,
1,0,0,24,1,0,0,0,0,1,6,
0,0,4,0,0,0,1,1,0,6,0,
0,4,1,0,1,0,25,1,21,0,0,
5,1,1,0,1,1,1,6,0,0,0,
0,5,1,0,1,1,6,0,0,0,0,
0,0,1,0,1,6,0,0,0,0,0,
0,0,0,21,1,0,0,0,0,0,0,
0,0,0,0,5,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.
[layer]
type=Tile Layer 2
data=
64,64,64,64,64,64,64,64,64,64,64,
70,0,0,0,0,84,0,0,0,0,70,
84,0,84,84,84,0,84,84,84,0,84,
76,0,76,76,76,76,76,76,76,0,76,
0,0,71,71,71,71,71,71,71,0,71,
63,63,63,63,60,60,60,63,63,63,63,
50,50,50,50,0,0,50,50,50,60,50,
60,60,60,60,0,42,0,0,0,0,0,
0,0,0,0,0,42,47,0,0,0,63,
63,60,58,52,0,0,47,52,0,0,63,
0,0,0,0,0,42,0,52,0,0,0,
63,0,0,0,0,42,47,0,0,60,0,
63,60,0,0,47,42,47,52,0,60,63,
63,0,0,0,47,0,0,0,0,60,63,
0,0,58,0,0,0,47,52,0,60,0,
0,60,58,0,47,0,0,52,0,0,0,
63,60,58,0,47,42,47,52,0,0,0,
0,60,58,0,47,42,47,0,0,0,0,
0,0,58,0,47,42,0,0,0,0,0,
0,0,0,0,47,0,0,0,0,0,0,
0,0,0,0,47,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.
