[layer]
type=Tile Layer 1
data=
0,0,0,1,1,1,1,1,0,0,0,
0,0,1,38,38,38,38,1,1,0,0,
0,1,38,1,1,1,38,1,1,1,0,
0,1,38,38,38,1,38,1,1,1,0,
1,1,1,1,1,1,1,1,33,33,0,
0,33,33,33,38,33,33,38,33,33,33,
0,0,33,38,34,38,33,34,38,33,0,
0,33,33,38,34,38,38,34,38,33,33,
0,0,33,33,38,38,38,38,33,33,0,
0,0,0,0,33,38,38,33,0,0,0,
0,0,0,1,37,29,29,37,1,0,0,
0,0,0,38,37,37,37,37,38,0,0,
24,0,0,38,33,37,37,33,38,0,24,
7,0,0,1,37,37,37,37,1,0,7,
7,0,0,0,1,1,1,33,0,0,7,
7,0,0,0,1,0,0,1,33,0,7,
7,0,0,0,33,0,0,33,0,0,7,
7,0,0,0,1,0,0,1,0,0,7,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.
[layer]
type=Tile Layer 2
data=
0,0,0,200,200,200,200,200,0,0,0,
0,0,150,1,1,1,1,120,150,0,0,
0,150,1,120,120,120,1,120,120,150,0,
0,150,1,1,1,120,1,120,120,150,0,
40,50,50,50,50,50,50,50,80,80,0,
0,80,80,80,1,80,80,1,80,80,20,
0,0,80,1,100,1,80,100,1,80,0,
0,80,50,1,100,1,1,100,1,80,20,
0,0,80,80,1,1,1,1,80,80,0,
0,0,0,0,80,1,1,80,0,0,0,
0,0,0,100,100,50,50,100,100,0,0,
0,0,0,1,50,50,50,100,1,0,0,
0,0,0,1,50,50,50,50,1,0,0,
0,0,0,50,50,50,50,50,50,0,0,
0,0,0,0,50,50,50,50,0,0,0,
0,0,0,0,50,0,0,50,50,0,0,
0,0,0,0,50,0,0,50,0,0,0,
0,0,0,0,50,0,0,50,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0.
